date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:43	3329/3329	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Sep%202017%2009:44:42%20GMT	https://aprand.000webhostapp.com/robots.txt		(from )
12:44:43	5441/5441	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:43%20GMT	https://aprand.000webhostapp.com/	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/index.html	(from )
12:44:44	99558/99558	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202017%2008:29:35%20GMT	https://aprand.000webhostapp.com/css/bootstrap.min.css	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/css/bootstrap.min.css	(from https://aprand.000webhostapp.com/)
12:44:44	1738/1738	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202017%2008:29:41%20GMT	https://aprand.000webhostapp.com/css/main.css	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/css/main.css	(from https://aprand.000webhostapp.com/)
12:44:45	5441/5441	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:44%20GMT	https://aprand.000webhostapp.com/index.html	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/index-2.html	(from https://aprand.000webhostapp.com/)
12:44:45	5340/5340	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:45%20GMT	https://aprand.000webhostapp.com/arrays.html	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/arrays.html	(from https://aprand.000webhostapp.com/)
12:44:46	5155/5155	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:46%20GMT	https://aprand.000webhostapp.com/queues.php	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/queues.html	(from https://aprand.000webhostapp.com/)
12:44:47	5443/5443	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:46%20GMT	https://aprand.000webhostapp.com/stacks.php	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/stacks.html	(from https://aprand.000webhostapp.com/)
12:44:47	6964/6964	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:47%20GMT	https://aprand.000webhostapp.com/linkedlists.php	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/linkedlists.html	(from https://aprand.000webhostapp.com/)
12:44:48	5086/5086	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:47%20GMT	https://aprand.000webhostapp.com/priorityqueues.php	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/priorityqueues.html	(from https://aprand.000webhostapp.com/)
12:44:48	5307/5307	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:48%20GMT	https://aprand.000webhostapp.com/mergesort.php	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/mergesort.html	(from https://aprand.000webhostapp.com/)
12:44:49	5476/5476	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:48%20GMT	https://aprand.000webhostapp.com/quickSort.php	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/quickSort.html	(from https://aprand.000webhostapp.com/)
12:44:49	6365/6365	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:49%20GMT	https://aprand.000webhostapp.com/bubblesort.php	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/bubblesort.html	(from https://aprand.000webhostapp.com/)
12:44:50	5678/5678	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:49%20GMT	https://aprand.000webhostapp.com/insertionSort.php	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/insertionSort.html	(from https://aprand.000webhostapp.com/)
12:44:50	5478/5478	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:50%20GMT	https://aprand.000webhostapp.com/selectionSort.php	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/selectionSort.html	(from https://aprand.000webhostapp.com/)
12:44:51	5631/5631	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:50%20GMT	https://aprand.000webhostapp.com/binarySearch.php	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/binarySearch.html	(from https://aprand.000webhostapp.com/)
12:44:51	5882/5882	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:51%20GMT	https://aprand.000webhostapp.com/linearSearch.php	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/linearSearch.html	(from https://aprand.000webhostapp.com/)
12:44:52	6928/6928	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202017%2009:44:51%20GMT	https://aprand.000webhostapp.com/pascals.php	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/pascals.html	(from https://aprand.000webhostapp.com/)
12:44:54	95957/95957	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2007%20Feb%202017%2008:38:48%20GMT	https://aprand.000webhostapp.com/js/jquery.min.js	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/js/jquery.min.js	(from https://aprand.000webhostapp.com/)
12:44:54	27822/27822	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2007%20Feb%202017%2008:34:22%20GMT	https://aprand.000webhostapp.com/js/bootstrap.min.js	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/js/bootstrap.min.js	(from https://aprand.000webhostapp.com/)
12:44:56	8452/8452	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Sep%202017%2009:44:55%20GMT	https://aprand.000webhostapp.com/fonts/glyphicons-halflings-regular.eot	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/fonts/glyphicons-halflings-regular.12.delayed	(from https://aprand.000webhostapp.com/css/bootstrap.min.css)
12:45:00	8452/8452	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Sep%202017%2009:45:00%20GMT	https://aprand.000webhostapp.com/fonts/glyphicons-halflings-regular.ttf	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/fonts/glyphicons-halflings-regular.ttf	(from https://aprand.000webhostapp.com/css/bootstrap.min.css)
12:45:01	8452/8452	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Sep%202017%2009:45:01%20GMT	https://aprand.000webhostapp.com/fonts/glyphicons-halflings-regular.svg	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/fonts/glyphicons-halflings-regular.svg	(from https://aprand.000webhostapp.com/css/bootstrap.min.css)
12:45:03	26368/26368	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Feb%202017%2008:44:37%20GMT	https://aprand.000webhostapp.com/images/queue_example.jpg	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/images/queue_example.jpg	(from https://aprand.000webhostapp.com/queues.php)
12:45:05	10658/10658	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Feb%202017%2008:45:12%20GMT	https://aprand.000webhostapp.com/images/stack_example.jpg	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/images/stack_example.jpg	(from https://aprand.000webhostapp.com/stacks.php)
12:45:05	37625/37625	---M--	200	added ('OK')	image/gif	date:Tue,%2007%20Feb%202017%2008:40:41%20GMT	https://aprand.000webhostapp.com/images/linear_search.gif	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/images/linear_search.gif	(from https://aprand.000webhostapp.com/linearSearch.php)
12:45:05	2224/2224	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Feb%202017%2008:44:32%20GMT	https://aprand.000webhostapp.com/images/pascals_equation.jpg	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/images/pascals_equation.jpg	(from https://aprand.000webhostapp.com/pascals.php)
12:45:06	8452/8452	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Sep%202017%2009:45:06%20GMT	https://aprand.000webhostapp.com/fonts/glyphicons-halflings-regular.eot?	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/fonts/glyphicons-halflings-regulard41d.eot	(from https://aprand.000webhostapp.com/css/bootstrap.min.css)
12:45:07	8452/8452	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Sep%202017%2009:45:07%20GMT	https://aprand.000webhostapp.com/fonts/glyphicons-halflings-regular.woff	/home/karuhanga/Documents/MUK_Cmp_Sci/Yr.2/Sm.1/Data%20Structures%20and%20Algorithms/Example/aprand.000webhostapp.com/fonts/glyphicons-halflings-regular.woff	(from https://aprand.000webhostapp.com/css/bootstrap.min.css)
